dateday,season,year,month,hour,count,time_category
2011-01-02,spring,2011,Jan,21,31,Malam
2011-01-02,spring,2011,Jan,22,9,Malam
2011-01-02,spring,2011,Jan,23,8,Malam
2011-01-03,spring,2011,Jan,0,5,Malam
2011-01-03,spring,2011,Jan,1,2,Malam
2011-01-03,spring,2011,Jan,4,1,Pagi
2011-01-03,spring,2011,Jan,5,3,Pagi
2011-01-03,spring,2011,Jan,6,30,Pagi
2011-01-03,spring,2011,Jan,7,64,Pagi
2011-01-03,spring,2011,Jan,8,154,Pagi
2011-01-03,spring,2011,Jan,9,88,Pagi
2011-01-03,spring,2011,Jan,10,44,Pagi
2011-01-03,spring,2011,Jan,11,51,Siang
2011-01-03,spring,2011,Jan,12,61,Siang
2011-01-03,spring,2011,Jan,13,61,Siang
2011-01-03,spring,2011,Jan,14,77,Siang
2011-01-03,spring,2011,Jan,15,72,Siang
2011-01-03,spring,2011,Jan,16,76,Sore
2011-01-03,spring,2011,Jan,17,157,Sore
2011-01-03,spring,2011,Jan,18,157,Sore
2011-01-03,spring,2011,Jan,19,110,Sore
2011-01-03,spring,2011,Jan,20,52,Malam
2011-01-03,spring,2011,Jan,21,52,Malam
2011-01-03,spring,2011,Jan,22,20,Malam
2011-01-03,spring,2011,Jan,23,12,Malam
2011-01-04,spring,2011,Jan,0,5,Malam
2011-01-04,spring,2011,Jan,1,2,Malam
2011-01-04,spring,2011,Jan,2,1,Malam
2011-01-04,spring,2011,Jan,4,2,Pagi
2011-01-04,spring,2011,Jan,5,4,Pagi
2011-01-04,spring,2011,Jan,6,36,Pagi
2011-01-04,spring,2011,Jan,7,94,Pagi
2011-01-04,spring,2011,Jan,8,179,Pagi
2011-01-04,spring,2011,Jan,9,100,Pagi
2011-01-04,spring,2011,Jan,10,42,Pagi
2011-01-04,spring,2011,Jan,11,57,Siang
2011-01-04,spring,2011,Jan,12,78,Siang
2011-01-04,spring,2011,Jan,13,97,Siang
2011-01-04,spring,2011,Jan,14,63,Siang
2011-01-04,spring,2011,Jan,15,65,Siang
2011-01-04,spring,2011,Jan,16,83,Sore
2011-01-04,spring,2011,Jan,17,212,Sore
2011-01-04,spring,2011,Jan,18,182,Sore
2011-01-04,spring,2011,Jan,19,112,Sore
2011-01-04,spring,2011,Jan,20,54,Malam
2011-01-04,spring,2011,Jan,21,48,Malam
2011-01-04,spring,2011,Jan,22,35,Malam
2011-01-04,spring,2011,Jan,23,11,Malam
2011-01-05,spring,2011,Jan,0,6,Malam
2011-01-05,spring,2011,Jan,1,6,Malam
2011-01-05,spring,2011,Jan,2,2,Malam
2011-01-05,spring,2011,Jan,4,2,Pagi
2011-01-05,spring,2011,Jan,5,3,Pagi
2011-01-05,spring,2011,Jan,6,33,Pagi
2011-01-05,spring,2011,Jan,7,88,Pagi
2011-01-05,spring,2011,Jan,8,195,Pagi
2011-01-05,spring,2011,Jan,9,115,Pagi
2011-01-05,spring,2011,Jan,10,57,Pagi
2011-01-05,spring,2011,Jan,11,46,Siang
2011-01-05,spring,2011,Jan,12,79,Siang
2011-01-05,spring,2011,Jan,13,71,Siang
2011-01-05,spring,2011,Jan,14,62,Siang
2011-01-05,spring,2011,Jan,15,62,Siang
2011-01-05,spring,2011,Jan,16,89,Sore
2011-01-05,spring,2011,Jan,17,190,Sore
2011-01-05,spring,2011,Jan,18,169,Sore
2011-01-05,spring,2011,Jan,19,132,Sore
2011-01-05,spring,2011,Jan,20,89,Malam
2011-01-05,spring,2011,Jan,21,43,Malam
2011-01-05,spring,2011,Jan,22,42,Malam
2011-01-05,spring,2011,Jan,23,19,Malam
2011-01-06,spring,2011,Jan,0,11,Malam
2011-01-06,spring,2011,Jan,1,4,Malam
2011-01-06,spring,2011,Jan,2,2,Malam
2011-01-06,spring,2011,Jan,4,1,Pagi
2011-01-06,spring,2011,Jan,5,4,Pagi
2011-01-06,spring,2011,Jan,6,36,Pagi
2011-01-06,spring,2011,Jan,7,95,Pagi
2011-01-06,spring,2011,Jan,8,219,Pagi
2011-01-06,spring,2011,Jan,9,122,Pagi
2011-01-06,spring,2011,Jan,10,45,Pagi
2011-01-06,spring,2011,Jan,11,59,Siang
2011-01-06,spring,2011,Jan,12,84,Siang
2011-01-06,spring,2011,Jan,13,67,Siang
2011-01-06,spring,2011,Jan,14,70,Siang
2011-01-06,spring,2011,Jan,15,62,Siang
2011-01-06,spring,2011,Jan,16,86,Sore
2011-01-06,spring,2011,Jan,17,172,Sore
2011-01-06,spring,2011,Jan,18,163,Sore
2011-01-06,spring,2011,Jan,19,112,Sore
2011-01-06,spring,2011,Jan,20,69,Malam
2011-01-06,spring,2011,Jan,21,48,Malam
2011-01-06,spring,2011,Jan,22,52,Malam
2011-01-06,spring,2011,Jan,23,23,Malam
2011-01-07,spring,2011,Jan,0,17,Malam
2011-01-07,spring,2011,Jan,1,7,Malam
2011-01-07,spring,2011,Jan,2,1,Malam
2011-01-07,spring,2011,Jan,4,1,Pagi
2011-01-07,spring,2011,Jan,5,5,Pagi
2011-01-07,spring,2011,Jan,6,34,Pagi
2011-01-07,spring,2011,Jan,7,84,Pagi
2011-01-07,spring,2011,Jan,8,210,Pagi
2011-01-07,spring,2011,Jan,9,134,Pagi
2011-01-07,spring,2011,Jan,10,63,Pagi
2011-01-07,spring,2011,Jan,11,67,Siang
2011-01-07,spring,2011,Jan,12,59,Siang
2011-01-07,spring,2011,Jan,13,73,Siang
2011-01-07,spring,2011,Jan,14,50,Siang
2011-01-07,spring,2011,Jan,15,72,Siang
2011-01-07,spring,2011,Jan,16,87,Sore
2011-01-07,spring,2011,Jan,17,187,Sore
2011-01-07,spring,2011,Jan,18,123,Sore
2011-01-07,spring,2011,Jan,19,95,Sore
2011-01-07,spring,2011,Jan,20,51,Malam
2011-01-07,spring,2011,Jan,21,39,Malam
2011-01-07,spring,2011,Jan,22,36,Malam
2011-01-07,spring,2011,Jan,23,15,Malam
2011-01-08,spring,2011,Jan,0,25,Malam
2011-01-08,spring,2011,Jan,1,16,Malam
2011-01-08,spring,2011,Jan,2,16,Malam
2011-01-08,spring,2011,Jan,3,7,Malam
2011-01-08,spring,2011,Jan,4,1,Pagi
2011-01-08,spring,2011,Jan,5,5,Pagi
2011-01-08,spring,2011,Jan,6,2,Pagi
2011-01-08,spring,2011,Jan,7,9,Pagi
2011-01-08,spring,2011,Jan,8,15,Pagi
2011-01-08,spring,2011,Jan,9,20,Pagi
2011-01-08,spring,2011,Jan,10,61,Pagi
2011-01-08,spring,2011,Jan,11,62,Siang
2011-01-08,spring,2011,Jan,12,98,Siang
2011-01-08,spring,2011,Jan,13,102,Siang
2011-01-08,spring,2011,Jan,14,95,Siang
2011-01-08,spring,2011,Jan,15,74,Siang
2011-01-08,spring,2011,Jan,16,76,Sore
2011-01-08,spring,2011,Jan,17,69,Sore
2011-01-08,spring,2011,Jan,18,55,Sore
2011-01-08,spring,2011,Jan,19,30,Sore
2011-01-08,spring,2011,Jan,20,28,Malam
2011-01-08,spring,2011,Jan,21,37,Malam
2011-01-08,spring,2011,Jan,22,34,Malam
2011-01-08,spring,2011,Jan,23,22,Malam
2011-01-09,spring,2011,Jan,0,25,Malam
2011-01-09,spring,2011,Jan,1,12,Malam
2011-01-09,spring,2011,Jan,2,11,Malam
2011-01-09,spring,2011,Jan,3,4,Malam
2011-01-09,spring,2011,Jan,4,1,Pagi
2011-01-09,spring,2011,Jan,5,1,Pagi
2011-01-09,spring,2011,Jan,6,1,Pagi
2011-01-09,spring,2011,Jan,7,6,Pagi
2011-01-09,spring,2011,Jan,8,10,Pagi
2011-01-09,spring,2011,Jan,9,19,Pagi
2011-01-09,spring,2011,Jan,10,49,Pagi
2011-01-09,spring,2011,Jan,11,49,Siang
2011-01-09,spring,2011,Jan,12,83,Siang
2011-01-09,spring,2011,Jan,13,75,Siang
2011-01-09,spring,2011,Jan,14,72,Siang
2011-01-09,spring,2011,Jan,15,82,Siang
2011-01-09,spring,2011,Jan,16,92,Sore
2011-01-09,spring,2011,Jan,17,62,Sore
2011-01-09,spring,2011,Jan,18,48,Sore
2011-01-09,spring,2011,Jan,19,41,Sore
2011-01-09,spring,2011,Jan,20,38,Malam
2011-01-09,spring,2011,Jan,21,20,Malam
2011-01-09,spring,2011,Jan,22,15,Malam
2011-01-09,spring,2011,Jan,23,6,Malam
2011-01-10,spring,2011,Jan,0,5,Malam
2011-01-10,spring,2011,Jan,1,1,Malam
2011-01-10,spring,2011,Jan,2,3,Malam
2011-01-10,spring,2011,Jan,3,1,Malam
2011-01-10,spring,2011,Jan,4,3,Pagi
2011-01-10,spring,2011,Jan,5,3,Pagi
2011-01-10,spring,2011,Jan,6,31,Pagi
2011-01-10,spring,2011,Jan,7,77,Pagi
2011-01-10,spring,2011,Jan,8,188,Pagi
2011-01-10,spring,2011,Jan,9,94,Pagi
2011-01-10,spring,2011,Jan,10,31,Pagi
2011-01-10,spring,2011,Jan,11,30,Siang
2011-01-10,spring,2011,Jan,12,52,Siang
2011-01-10,spring,2011,Jan,13,54,Siang
2011-01-10,spring,2011,Jan,14,47,Siang
2011-01-10,spring,2011,Jan,15,45,Siang
2011-01-10,spring,2011,Jan,16,74,Sore
2011-01-10,spring,2011,Jan,17,178,Sore
2011-01-10,spring,2011,Jan,18,155,Sore
2011-01-10,spring,2011,Jan,19,95,Sore
2011-01-10,spring,2011,Jan,20,74,Malam
2011-01-10,spring,2011,Jan,21,38,Malam
2011-01-10,spring,2011,Jan,22,24,Malam
2011-01-10,spring,2011,Jan,23,18,Malam
2011-01-11,spring,2011,Jan,0,12,Malam
2011-01-11,spring,2011,Jan,1,3,Malam
2011-01-11,spring,2011,Jan,2,3,Malam
2011-01-11,spring,2011,Jan,5,6,Pagi
2011-01-11,spring,2011,Jan,6,27,Pagi
2011-01-11,spring,2011,Jan,7,99,Pagi
2011-01-11,spring,2011,Jan,8,217,Pagi
2011-01-11,spring,2011,Jan,9,130,Pagi
2011-01-11,spring,2011,Jan,10,54,Pagi
2011-01-11,spring,2011,Jan,11,35,Siang
2011-01-11,spring,2011,Jan,12,57,Siang
2011-01-11,spring,2011,Jan,13,52,Siang
2011-01-11,spring,2011,Jan,14,63,Siang
2011-01-11,spring,2011,Jan,15,47,Siang
2011-01-11,spring,2011,Jan,16,76,Sore
2011-01-11,spring,2011,Jan,17,136,Sore
2011-01-11,spring,2011,Jan,18,95,Sore
2011-01-11,spring,2011,Jan,19,51,Sore
2011-01-11,spring,2011,Jan,20,32,Malam
2011-01-11,spring,2011,Jan,21,20,Malam
2011-01-11,spring,2011,Jan,22,29,Malam
2011-01-11,spring,2011,Jan,23,19,Malam
2011-01-12,spring,2011,Jan,0,7,Malam
2011-01-12,spring,2011,Jan,1,6,Malam
2011-01-12,spring,2011,Jan,2,1,Malam
2011-01-12,spring,2011,Jan,5,5,Pagi
2011-01-12,spring,2011,Jan,6,16,Pagi
2011-01-12,spring,2011,Jan,7,54,Pagi
2011-01-12,spring,2011,Jan,8,128,Pagi
2011-01-12,spring,2011,Jan,9,81,Pagi
2011-01-12,spring,2011,Jan,10,39,Pagi
2011-01-12,spring,2011,Jan,11,35,Siang
2011-01-12,spring,2011,Jan,12,55,Siang
2011-01-12,spring,2011,Jan,13,49,Siang
2011-01-12,spring,2011,Jan,14,44,Siang
2011-01-12,spring,2011,Jan,15,49,Siang
2011-01-12,spring,2011,Jan,16,68,Sore
2011-01-12,spring,2011,Jan,17,139,Sore
2011-01-12,spring,2011,Jan,18,137,Sore
2011-01-12,spring,2011,Jan,19,83,Sore
2011-01-12,spring,2011,Jan,20,56,Malam
2011-01-12,spring,2011,Jan,21,57,Malam
2011-01-12,spring,2011,Jan,22,33,Malam
2011-01-12,spring,2011,Jan,23,20,Malam
2011-01-13,spring,2011,Jan,0,7,Malam
2011-01-13,spring,2011,Jan,1,2,Malam
2011-01-13,spring,2011,Jan,2,2,Malam
2011-01-13,spring,2011,Jan,3,3,Malam
2011-01-13,spring,2011,Jan,4,4,Pagi
2011-01-13,spring,2011,Jan,5,3,Pagi
2011-01-13,spring,2011,Jan,6,28,Pagi
2011-01-13,spring,2011,Jan,7,72,Pagi
2011-01-13,spring,2011,Jan,8,202,Pagi
2011-01-13,spring,2011,Jan,9,139,Pagi
2011-01-13,spring,2011,Jan,10,38,Pagi
2011-01-13,spring,2011,Jan,11,37,Siang
2011-01-13,spring,2011,Jan,12,52,Siang
2011-01-13,spring,2011,Jan,13,83,Siang
2011-01-13,spring,2011,Jan,14,42,Siang
2011-01-13,spring,2011,Jan,15,60,Siang
2011-01-13,spring,2011,Jan,16,78,Sore
2011-01-13,spring,2011,Jan,17,162,Sore
2011-01-13,spring,2011,Jan,18,144,Sore
2011-01-13,spring,2011,Jan,19,99,Sore
2011-01-13,spring,2011,Jan,20,64,Malam
2011-01-13,spring,2011,Jan,21,40,Malam
2011-01-13,spring,2011,Jan,22,30,Malam
2011-01-13,spring,2011,Jan,23,15,Malam
2011-01-14,spring,2011,Jan,0,14,Malam
2011-01-14,spring,2011,Jan,1,5,Malam
2011-01-14,spring,2011,Jan,2,1,Malam
2011-01-14,spring,2011,Jan,3,1,Malam
2011-01-14,spring,2011,Jan,5,8,Pagi
2011-01-14,spring,2011,Jan,6,17,Pagi
2011-01-14,spring,2011,Jan,7,70,Pagi
2011-01-14,spring,2011,Jan,8,158,Pagi
2011-01-14,spring,2011,Jan,9,117,Pagi
2011-01-14,spring,2011,Jan,10,44,Pagi
2011-01-14,spring,2011,Jan,11,53,Siang
2011-01-14,spring,2011,Jan,12,61,Siang
2011-01-14,spring,2011,Jan,13,77,Siang
2011-01-14,spring,2011,Jan,14,64,Siang
2011-01-14,spring,2011,Jan,15,68,Siang
2011-01-14,spring,2011,Jan,16,90,Sore
2011-01-14,spring,2011,Jan,17,159,Sore
2011-01-14,spring,2011,Jan,18,139,Sore
2011-01-14,spring,2011,Jan,19,92,Sore
2011-01-14,spring,2011,Jan,20,68,Malam
2011-01-14,spring,2011,Jan,21,52,Malam
2011-01-14,spring,2011,Jan,22,36,Malam
2011-01-14,spring,2011,Jan,23,27,Malam
2011-01-15,spring,2011,Jan,0,28,Malam
2011-01-15,spring,2011,Jan,1,20,Malam
2011-01-15,spring,2011,Jan,2,12,Malam
2011-01-15,spring,2011,Jan,3,8,Malam
2011-01-15,spring,2011,Jan,4,5,Pagi
2011-01-15,spring,2011,Jan,5,1,Pagi
2011-01-15,spring,2011,Jan,6,3,Pagi
2011-01-15,spring,2011,Jan,7,10,Pagi
2011-01-15,spring,2011,Jan,8,23,Pagi
2011-01-15,spring,2011,Jan,9,33,Pagi
2011-01-15,spring,2011,Jan,10,59,Pagi
2011-01-15,spring,2011,Jan,11,72,Siang
2011-01-15,spring,2011,Jan,12,89,Siang
2011-01-15,spring,2011,Jan,13,101,Siang
2011-01-15,spring,2011,Jan,14,118,Siang
2011-01-15,spring,2011,Jan,15,129,Siang
2011-01-15,spring,2011,Jan,16,128,Sore
2011-01-15,spring,2011,Jan,17,83,Sore
2011-01-15,spring,2011,Jan,18,84,Sore
2011-01-15,spring,2011,Jan,19,74,Sore
2011-01-15,spring,2011,Jan,20,41,Malam
2011-01-15,spring,2011,Jan,21,57,Malam
2011-01-15,spring,2011,Jan,22,26,Malam
2011-01-15,spring,2011,Jan,23,44,Malam
2011-01-16,spring,2011,Jan,0,39,Malam
2011-01-16,spring,2011,Jan,1,23,Malam
2011-01-16,spring,2011,Jan,2,16,Malam
2011-01-16,spring,2011,Jan,3,15,Malam
2011-01-16,spring,2011,Jan,4,1,Pagi
2011-01-16,spring,2011,Jan,5,2,Pagi
2011-01-16,spring,2011,Jan,6,1,Pagi
2011-01-16,spring,2011,Jan,7,3,Pagi
2011-01-16,spring,2011,Jan,8,18,Pagi
2011-01-16,spring,2011,Jan,9,32,Pagi
2011-01-16,spring,2011,Jan,10,79,Pagi
2011-01-16,spring,2011,Jan,11,93,Siang
2011-01-16,spring,2011,Jan,12,104,Siang
2011-01-16,spring,2011,Jan,13,118,Siang
2011-01-16,spring,2011,Jan,14,91,Siang
2011-01-16,spring,2011,Jan,15,113,Siang
2011-01-16,spring,2011,Jan,16,99,Sore
2011-01-16,spring,2011,Jan,17,105,Sore
2011-01-16,spring,2011,Jan,18,67,Sore
2011-01-16,spring,2011,Jan,19,61,Sore
2011-01-16,spring,2011,Jan,20,57,Malam
2011-01-16,spring,2011,Jan,21,28,Malam
2011-01-16,spring,2011,Jan,22,21,Malam
2011-01-16,spring,2011,Jan,23,18,Malam
2011-01-17,spring,2011,Jan,0,17,Malam
2011-01-17,spring,2011,Jan,1,16,Malam
2011-01-17,spring,2011,Jan,2,8,Malam
2011-01-17,spring,2011,Jan,3,2,Malam
2011-01-17,spring,2011,Jan,4,3,Pagi
2011-01-17,spring,2011,Jan,5,1,Pagi
2011-01-17,spring,2011,Jan,6,5,Pagi
2011-01-17,spring,2011,Jan,7,13,Pagi
2011-01-17,spring,2011,Jan,8,33,Pagi
2011-01-17,spring,2011,Jan,9,47,Pagi
2011-01-17,spring,2011,Jan,10,57,Pagi
2011-01-17,spring,2011,Jan,11,64,Siang
2011-01-17,spring,2011,Jan,12,80,Siang
2011-01-17,spring,2011,Jan,13,93,Siang
2011-01-17,spring,2011,Jan,14,86,Siang
2011-01-17,spring,2011,Jan,15,93,Siang
2011-01-17,spring,2011,Jan,16,82,Sore
2011-01-17,spring,2011,Jan,17,71,Sore
2011-01-17,spring,2011,Jan,18,92,Sore
2011-01-17,spring,2011,Jan,19,60,Sore
2011-01-17,spring,2011,Jan,20,33,Malam
2011-01-17,spring,2011,Jan,21,27,Malam
2011-01-17,spring,2011,Jan,22,13,Malam
2011-01-17,spring,2011,Jan,23,4,Malam
2011-01-18,spring,2011,Jan,12,3,Siang
2011-01-18,spring,2011,Jan,13,22,Siang
2011-01-18,spring,2011,Jan,14,28,Siang
2011-01-18,spring,2011,Jan,15,35,Siang
2011-01-18,spring,2011,Jan,16,61,Sore
2011-01-18,spring,2011,Jan,17,125,Sore
2011-01-18,spring,2011,Jan,18,133,Sore
2011-01-18,spring,2011,Jan,19,99,Sore
2011-01-18,spring,2011,Jan,20,83,Malam
2011-01-18,spring,2011,Jan,21,41,Malam
2011-01-18,spring,2011,Jan,22,33,Malam
2011-01-18,spring,2011,Jan,23,20,Malam
2011-01-19,spring,2011,Jan,0,3,Malam
2011-01-19,spring,2011,Jan,1,7,Malam
2011-01-19,spring,2011,Jan,2,3,Malam
2011-01-19,spring,2011,Jan,4,2,Pagi
2011-01-19,spring,2011,Jan,5,7,Pagi
2011-01-19,spring,2011,Jan,6,32,Pagi
2011-01-19,spring,2011,Jan,7,90,Pagi
2011-01-19,spring,2011,Jan,8,197,Pagi
2011-01-19,spring,2011,Jan,9,109,Pagi
2011-01-19,spring,2011,Jan,10,47,Pagi
2011-01-19,spring,2011,Jan,11,52,Siang
2011-01-19,spring,2011,Jan,12,70,Siang
2011-01-19,spring,2011,Jan,13,78,Siang
2011-01-19,spring,2011,Jan,14,75,Siang
2011-01-19,spring,2011,Jan,15,82,Siang
2011-01-19,spring,2011,Jan,16,104,Sore
2011-01-19,spring,2011,Jan,17,197,Sore
2011-01-19,spring,2011,Jan,18,161,Sore
2011-01-19,spring,2011,Jan,19,112,Sore
2011-01-19,spring,2011,Jan,20,76,Malam
2011-01-19,spring,2011,Jan,21,59,Malam
2011-01-19,spring,2011,Jan,22,59,Malam
2011-01-19,spring,2011,Jan,23,28,Malam
2011-01-20,spring,2011,Jan,0,13,Malam
2011-01-20,spring,2011,Jan,1,5,Malam
2011-01-20,spring,2011,Jan,2,2,Malam
2011-01-20,spring,2011,Jan,3,1,Malam
2011-01-20,spring,2011,Jan,4,1,Pagi
2011-01-20,spring,2011,Jan,5,6,Pagi
2011-01-20,spring,2011,Jan,6,35,Pagi
2011-01-20,spring,2011,Jan,7,101,Pagi
2011-01-20,spring,2011,Jan,8,249,Pagi
2011-01-20,spring,2011,Jan,9,143,Pagi
2011-01-20,spring,2011,Jan,10,57,Pagi
2011-01-20,spring,2011,Jan,11,68,Siang
2011-01-20,spring,2011,Jan,12,84,Siang
2011-01-20,spring,2011,Jan,13,98,Siang
2011-01-20,spring,2011,Jan,14,81,Siang
2011-01-20,spring,2011,Jan,15,70,Siang
2011-01-20,spring,2011,Jan,16,91,Sore
2011-01-20,spring,2011,Jan,17,215,Sore
2011-01-20,spring,2011,Jan,18,185,Sore
2011-01-20,spring,2011,Jan,19,152,Sore
2011-01-20,spring,2011,Jan,20,126,Malam
2011-01-20,spring,2011,Jan,21,57,Malam
2011-01-20,spring,2011,Jan,22,56,Malam
2011-01-20,spring,2011,Jan,23,31,Malam
2011-01-21,spring,2011,Jan,0,21,Malam
2011-01-21,spring,2011,Jan,1,6,Malam
2011-01-21,spring,2011,Jan,2,2,Malam
2011-01-21,spring,2011,Jan,3,1,Malam
2011-01-21,spring,2011,Jan,4,1,Pagi
2011-01-21,spring,2011,Jan,5,5,Pagi
2011-01-21,spring,2011,Jan,6,27,Pagi
2011-01-21,spring,2011,Jan,7,68,Pagi
2011-01-21,spring,2011,Jan,8,217,Pagi
2011-01-21,spring,2011,Jan,9,166,Pagi
2011-01-21,spring,2011,Jan,10,63,Pagi
2011-01-21,spring,2011,Jan,11,59,Siang
2011-01-21,spring,2011,Jan,12,78,Siang
2011-01-21,spring,2011,Jan,13,73,Siang
2011-01-21,spring,2011,Jan,14,62,Siang
2011-01-21,spring,2011,Jan,15,65,Siang
2011-01-21,spring,2011,Jan,16,97,Sore
2011-01-21,spring,2011,Jan,17,161,Sore
2011-01-21,spring,2011,Jan,18,120,Sore
2011-01-21,spring,2011,Jan,19,96,Sore
2011-01-21,spring,2011,Jan,20,53,Malam
2011-01-21,spring,2011,Jan,21,41,Malam
2011-01-21,spring,2011,Jan,22,34,Malam
2011-01-21,spring,2011,Jan,23,27,Malam
2011-01-22,spring,2011,Jan,0,13,Malam
2011-01-22,spring,2011,Jan,1,12,Malam
2011-01-22,spring,2011,Jan,2,11,Malam
2011-01-22,spring,2011,Jan,3,7,Malam
2011-01-22,spring,2011,Jan,4,3,Pagi
2011-01-22,spring,2011,Jan,6,2,Pagi
2011-01-22,spring,2011,Jan,7,8,Pagi
2011-01-22,spring,2011,Jan,8,27,Pagi
2011-01-22,spring,2011,Jan,9,40,Pagi
2011-01-22,spring,2011,Jan,10,53,Pagi
2011-01-22,spring,2011,Jan,11,63,Siang
2011-01-22,spring,2011,Jan,12,70,Siang
2011-01-22,spring,2011,Jan,13,84,Siang
2011-01-22,spring,2011,Jan,14,75,Siang
2011-01-22,spring,2011,Jan,15,103,Siang
2011-01-22,spring,2011,Jan,16,83,Sore
2011-01-22,spring,2011,Jan,17,67,Sore
2011-01-22,spring,2011,Jan,18,54,Sore
2011-01-22,spring,2011,Jan,19,59,Sore
2011-01-22,spring,2011,Jan,20,45,Malam
2011-01-22,spring,2011,Jan,21,39,Malam
2011-01-22,spring,2011,Jan,22,30,Malam
2011-01-22,spring,2011,Jan,23,33,Malam
2011-01-23,spring,2011,Jan,0,22,Malam
2011-01-23,spring,2011,Jan,1,13,Malam
2011-01-23,spring,2011,Jan,2,18,Malam
2011-01-23,spring,2011,Jan,3,5,Malam
2011-01-23,spring,2011,Jan,5,3,Pagi
2011-01-23,spring,2011,Jan,6,1,Pagi
2011-01-23,spring,2011,Jan,7,2,Pagi
2011-01-23,spring,2011,Jan,8,19,Pagi
2011-01-23,spring,2011,Jan,9,28,Pagi
2011-01-23,spring,2011,Jan,10,58,Pagi
2011-01-23,spring,2011,Jan,11,99,Siang
2011-01-23,spring,2011,Jan,12,116,Siang
2011-01-23,spring,2011,Jan,13,87,Siang
2011-01-23,spring,2011,Jan,14,110,Siang
2011-01-23,spring,2011,Jan,15,77,Siang
2011-01-23,spring,2011,Jan,16,65,Sore
2011-01-23,spring,2011,Jan,17,55,Sore
2011-01-23,spring,2011,Jan,18,49,Sore
2011-01-23,spring,2011,Jan,19,50,Sore
2011-01-23,spring,2011,Jan,20,35,Malam
2011-01-23,spring,2011,Jan,21,25,Malam
2011-01-23,spring,2011,Jan,22,28,Malam
2011-01-23,spring,2011,Jan,23,21,Malam
2011-01-24,spring,2011,Jan,0,7,Malam
2011-01-24,spring,2011,Jan,1,1,Malam
2011-01-24,spring,2011,Jan,3,1,Malam
2011-01-24,spring,2011,Jan,4,1,Pagi
2011-01-24,spring,2011,Jan,5,5,Pagi
2011-01-24,spring,2011,Jan,6,15,Pagi
2011-01-24,spring,2011,Jan,7,84,Pagi
2011-01-24,spring,2011,Jan,8,177,Pagi
2011-01-24,spring,2011,Jan,9,102,Pagi
2011-01-24,spring,2011,Jan,10,40,Pagi
2011-01-24,spring,2011,Jan,11,46,Siang
2011-01-24,spring,2011,Jan,12,63,Siang
2011-01-24,spring,2011,Jan,13,60,Siang
2011-01-24,spring,2011,Jan,14,45,Siang
2011-01-24,spring,2011,Jan,15,57,Siang
2011-01-24,spring,2011,Jan,16,70,Sore
2011-01-24,spring,2011,Jan,17,184,Sore
2011-01-24,spring,2011,Jan,18,153,Sore
2011-01-24,spring,2011,Jan,19,106,Sore
2011-01-24,spring,2011,Jan,20,81,Malam
2011-01-24,spring,2011,Jan,21,59,Malam
2011-01-24,spring,2011,Jan,22,35,Malam
2011-01-24,spring,2011,Jan,23,24,Malam
2011-01-25,spring,2011,Jan,0,9,Malam
2011-01-25,spring,2011,Jan,1,5,Malam
2011-01-25,spring,2011,Jan,2,2,Malam
2011-01-25,spring,2011,Jan,4,1,Pagi
